Sample_ID,subspp,locality,habitat,mass,FiO2a,FiO2b,FiO2c,FiO2_avg,RMR,TEWL-mg_min,TEWL_h,TEWL,kidney_mass,kidmass_corr,blood_osmo,urine_osmo,UPratio,medulla,latitude,longitude,min_H2O_osmo,mean_H2O_osmo,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,mayjune_tmax,mayjune_tmin,mayjune_prec
PMB_1919,nevadensis,LassenNF,interior,16,0.2085639,0.2078596,0.2084982,0.208307233,0.8120117,1.468169,88.09014,5.50563375,0.114,0.007125,367,569,1.55,10.43,40.58576667,-120.9921167,0,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1920,nevadensis,LassenNF,interior,15.9,0.2085639,0.2078596,0.2084982,0.208307233,0.7837765,1.405949,84.35694,5.305467925,0.106,0.006666667,317.3,696,2.19,19.44,40.58576667,-120.9921167,0,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1921,nevadensis,LassenNF,interior,17.5,0.2080757,0.206836,0.2077332,0.2075483,1.035509,too active,NA,NA,0.098,0.0056,NA,637,NA,8.82,40.58576667,-120.9921167,0,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1922,nevadensis,LassenNF,interior,16.6,0.2080757,0.206836,0.2077332,0.2075483,0.8137011,1.189155,71.3493,4.298150602,0.128,0.007710843,317.3,202,0.64,13.42,40.58576667,-120.9921167,0,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1923,nevadensis,LassenNF,interior,16.5,0.2080757,0.206836,0.2077332,0.2075483,0.7698589,1.001221,60.07326,3.640803636,0.102,0.006181818,322.5,533,1.65,15.69,40.58576667,-120.9921167,0,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1924,nevadensis,LassenNF,interior,16.8,0.208744,0.2088141,0.2091645,0.208907533,0.8097897,1.102056,66.12336,3.935914286,0.088,0.005238095,320.6,NA,NA,12.33,40.58576667,-120.9921167,0,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1925,nevadensis,LassenNF,interior,18.2,0.208744,0.2088141,0.2091645,0.208907533,1.307968,1.670016,100.20096,5.505547253,0.106,0.005824176,328,270,0.82,16.09,40.58576667,-120.9921167,0,0,6.408333333,16.15,44.98607242,696.6701102,27.3,-8.6,35.9,-0.766666667,15.06666667,15.26666667,-1.616666667,650,98,9,59.49936376,276,48,52,273,1.85,19.8,33.5
PMB_1926,nevadensis,SanBernardino,interior,16.6,NA,0.2091891,0.2088683,0.2090287,1.031214,0.6106253,36.637518,2.207079398,0.102,0.006144578,318,604,1.9,19.11,34.27208333,-116.8134167,NA,NA,8.4875,16.19166667,48.91742195,636.1500859,26.8,-6.3,33.1,1.983333333,14.23333333,16.66666667,1.433333333,603,104,4,74.10278817,295,41,51,290,3.45,21.3,10.5
PMB_1927,nevadensis,SanBernardino,interior,16.2,NA,0.2091891,0.2088683,0.2090287,0.9352962,0.5609054,33.654324,2.077427407,0.078,0.004814815,304,645,2.12,17.84,34.27208333,-116.8134167,NA,NA,8.4875,16.19166667,48.91742195,636.1500859,26.8,-6.3,33.1,1.983333333,14.23333333,16.66666667,1.433333333,603,104,4,74.10278817,295,41,51,290,3.45,21.3,10.5
PMB_1928,nevadensis,SanBernardino,interior,16.9,NA,NA,NA,0.200745,0.9817569,0.5717099,34.302594,2.02973929,0.102,0.006035503,332.5,NA,NA,NA,34.27208333,-116.8134167,NA,NA,8.4875,16.19166667,48.91742195,636.1500859,26.8,-6.3,33.1,1.983333333,14.23333333,16.66666667,1.433333333,603,104,4,74.10278817,295,41,51,290,3.45,21.3,10.5
PMB_1929,nevadensis,SanBernardino,interior,15.9,NA,NA,NA,0.200745,0.8583844,0.5459824,32.758944,2.060310943,0.076,0.004779874,320,743,2.32,30.54,34.27208333,-116.8134167,NA,NA,8.4875,16.19166667,48.91742195,636.1500859,26.8,-6.3,33.1,1.983333333,14.23333333,16.66666667,1.433333333,603,104,4,74.10278817,295,41,51,290,3.45,21.3,10.5
PMB_1761,anulus,PuertoViejo,tidal_mex,18.7,0.2093,0.2093,0.2094,0.2093,0.9553,2.162,129.72,6.936898396,0.143,0.007647059,NA,NA,NA,NA,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1762,anulus,PuertoViejo,tidal_mex,17.3,0.2096,0.2093,0.2092,0.2094,0.7981,1.585,95.1,5.497109827,0.162,0.009364162,NA,NA,NA,16.41,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1763,anulus,PuertoViejo,tidal_mex,18.5,0.2092,0.2089,0.2088,0.209,0.8699,1.471,88.26,4.770810811,0.201,0.010864865,355.5,624.5,1.76,56.97,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1764,anulus,PuertoViejo,tidal_mex,22.4,NA,NA,NA,NA,NA,NA,NA,NA,0.138,0.006160714,NA,NA,NA,40.23,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1765,anulus,PuertoViejo,tidal_mex,19,NA,NA,NA,NA,NA,NA,NA,NA,0.201,0.010578947,NA,NA,NA,NA,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1766,anulus,PuertoViejo,tidal_mex,19.8,0.2093,0.2089,0.2086,0.2089,1.092,2.27,136.2,6.878787879,0.163,0.008232323,359.7,514,1.43,NA,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1767,anulus,PuertoViejo,tidal_mex,14.5,0.2087,0.2085,0.2086,0.2086,0.8548,1.222,73.32,5.056551724,0.155,0.010689655,346,758,2.19,50.44,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1768,anulus,PuertoViejo,tidal_mex,17.1,0.2091,0.2088,0.2087,0.2089,1.016,1.129,67.74,3.961403509,0.192,0.01122807,375,424,1.13,46.16,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1769,anulus,PuertoViejo,tidal_mex,21.3,0.2096,0.2095,0.2094,0.2095,1.244,1.829,109.74,5.152112676,0.161,0.007558685,357.5,625,1.75,38.89,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1770,anulus,PuertoViejo,tidal_mex,17.1,0.2091,0.2089,0.2088,0.2089,1.041,1.84,110.4,6.456140351,0.157,0.009181287,355,737,2.08,50.98,27.928817,-114.156367,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1771,anulus,PuertoViejo,tidal_mex,19.6,0.2094,0.2093,0.2093,0.2093,1.265,2.004,120.24,6.134693878,0.187,0.009540816,347,336.5,0.97,27.44,26.715017,-113.5865,1049,1815.9,20.90833333,16.46666667,61.44278607,400.26601,35.2,8.4,26.8,19.55,20.96666667,26.38333333,16.36666667,91,18,0,75.11504389,38,2,17,38,30.2,13.3,0.5
PMB_1772,guttatus,Abreojos,tidal_mex,19.1,0.2089,0.2086,0.2088,0.2088,0.8766,0.7295,43.77,2.291623037,0.213,0.011151832,365,646,1.77,45.37,26.715017,-113.5865,1172.7,1238.1,20.7125,16.04166667,62.66276042,321.7362344,34.9,9.3,25.6,17.23333333,20.31666667,25.06666667,17.23333333,80,19,0,97.49125835,48,0,15,48,28.75,12.65,0
PMB_1773,guttatus,Abreojos,tidal_mex,18,0.2095,0.2095,0.2096,0.2095,1.079,0.6769,40.614,2.256333333,0.152,0.008444444,365,532,1.46,NA,26.715017,-113.5865,1172.7,1238.1,20.7125,16.04166667,62.66276042,321.7362344,34.9,9.3,25.6,17.23333333,20.31666667,25.06666667,17.23333333,80,19,0,97.49125835,48,0,15,48,28.75,12.65,0
PMB_1777,guttatus,Abreojos,tidal_mex,18.7,0.2093,0.2099,0.2096,0.2096,1.038,1.082,64.92,3.471657754,0.238,0.012727273,399,639,1.6,140.48,26.715017,-113.5865,1172.7,1238.1,20.7125,16.04166667,62.66276042,321.7362344,34.9,9.3,25.6,17.23333333,20.31666667,25.06666667,17.23333333,80,19,0,97.49125835,48,0,15,48,28.75,12.65,0
PMB_1778,guttatus,Abreojos,tidal_mex,20.4,0.2097,0.2097,0.2097,0.2097,0.9587,1.19,71.4,3.5,0.195,0.009558824,345,632,1.83,105.77,26.715017,-113.5865,1172.7,1238.1,20.7125,16.04166667,62.66276042,321.7362344,34.9,9.3,25.6,17.23333333,20.31666667,25.06666667,17.23333333,80,19,0,97.49125835,48,0,15,48,28.75,12.65,0
PMB_1782,guttatus,Abreojos,tidal_mex,18.1,0.2091,0.2092,0.209,0.2091,0.8451,0.7731,46.386,2.562762431,0.17,0.009392265,351,746,2.13,64.38,25.246279,-112.102591,1172.7,1238.1,20.7125,16.04166667,62.66276042,321.7362344,34.9,9.3,25.6,17.23333333,20.31666667,25.06666667,17.23333333,80,19,0,97.49125835,48,0,15,48,28.75,12.65,0
PMB_1792,magdalanae,LopezMateos,tidal_mex,17.3,0.2092,0.2091,0.2091,0.2091,0.9577,0.5902,35.412,2.046936416,0.156,0.009017341,384,501,1.3,64.05,25.246279,-112.102591,2322.7,2322.7,22.04166667,13.6,57.87234043,388.9486606,34.2,10.7,23.5,19.18333333,21.08333333,27.51666667,17.96666667,82,15,0,78.64242087,36,1,30,23,28.9,14.6,0
PMB_1793,magdalanae,LopezMateos,tidal_mex,17.8,0.2093,0.2092,0.2095,0.2093,0.8388,0.6048,36.288,2.038651685,0.154,0.008651685,360.8,886,2.46,NA,25.246279,-112.102591,2322.7,2322.7,22.04166667,13.6,57.87234043,388.9486606,34.2,10.7,23.5,19.18333333,21.08333333,27.51666667,17.96666667,82,15,0,78.64242087,36,1,30,23,28.9,14.6,0
PMB_1802,magdalanae,LopezMateos,tidal_mex,15.8,0.2087,0.2089,0.209,0.2089,0.8516,0.697,41.82,2.646835443,0.145,0.009177215,344,521,1.51,46.12,25.246279,-112.102591,2322.7,2322.7,22.04166667,13.6,57.87234043,388.9486606,34.2,10.7,23.5,19.18333333,21.08333333,27.51666667,17.96666667,82,15,0,78.64242087,36,1,30,23,28.9,14.6,0
PMB_1803,magdalanae,LopezMateos,tidal_mex,15,0.2093,0.2095,0.2096,0.2095,0.6019,0.459,27.54,1.836,0.12,0.008,354.5,437,1.23,67.11,27.113274,-110.016188,2322.7,2322.7,22.04166667,13.6,57.87234043,388.9486606,34.2,10.7,23.5,19.18333333,21.08333333,27.51666667,17.96666667,82,15,0,78.64242087,36,1,30,23,28.9,14.6,0
PMB_1808,atratus,Atanasia,tidal_mex,19,0.2091,0.2094,0.2094,0.2093,0.8604,0.5975,35.85,1.886842105,0.205,0.010789474,359,743,2.07,87.8,27.113274,-110.016188,1164.3,1238.7,24.97916667,15.29166667,54.03415783,557.227138,37.9,9.6,28.3,31.8,23.13333333,31.8,18.21666667,178,39,0,102.999288,114,3,114,31,36,19.65,1
PMB_1809,atratus,Atanasia,tidal_mex,19,0.2093,0.2093,0.2097,0.2094,1.3,0.6237,37.422,1.969578947,0.19,0.01,345.5,691.6,2,69.07,27.113274,-110.016188,1164.3,1238.7,24.97916667,15.29166667,54.03415783,557.227138,37.9,9.6,28.3,31.8,23.13333333,31.8,18.21666667,178,39,0,102.999288,114,3,114,31,36,19.65,1
PMB_1813,atratus,Atanasia,tidal_mex,17.6,0.2094,0.2095,0.2095,0.2095,0.826,0.4928,29.568,1.68,0.187,0.010625,338,978,2.89,60.32,27.113274,-110.016188,1164.3,1238.7,24.97916667,15.29166667,54.03415783,557.227138,37.9,9.6,28.3,31.8,23.13333333,31.8,18.21666667,178,39,0,102.999288,114,3,114,31,36,19.65,1
PMB_1814,atratus,Atanasia,tidal_mex,17.9,0.2094,0.2104,0.21,0.2099,0.8353,0.4961,29.766,1.662905028,0.19,0.010614525,376,471.5,1.25,100.88,27.113274,-110.016188,1164.3,1238.7,24.97916667,15.29166667,54.03415783,557.227138,37.9,9.6,28.3,31.8,23.13333333,31.8,18.21666667,178,39,0,102.999288,114,3,114,31,36,19.65,1
PMB_1817,atratus,Atanasia,tidal_mex,17.6,0.2092,0.209,0.2083,0.2088,0.9432,0.557,33.42,1.898863636,0.218,0.012386364,359.5,748,2.08,65.49,27.113274,-110.016188,1164.3,1238.7,24.97916667,15.29166667,54.03415783,557.227138,37.9,9.6,28.3,31.8,23.13333333,31.8,18.21666667,178,39,0,102.999288,114,3,114,31,36,19.65,1
PMB_1818,atratus,Atanasia,tidal_mex,17.6,0.2096,0.2096,0.2095,0.2096,0.9272,0.5102,30.612,1.739318182,0.189,0.010738636,351,623,1.77,66.32,27.113274,-110.016188,1164.3,1238.7,24.97916667,15.29166667,54.03415783,557.227138,37.9,9.6,28.3,31.8,23.13333333,31.8,18.21666667,178,39,0,102.999288,114,3,114,31,36,19.65,1
PMB_1819,atratus,Atanasia,tidal_mex,20.8,NA,NA,NA,NA,NA,NA,NA,NA,0.197,0.009471154,384,637.5,1.66,84.35,27.113274,-110.016188,1164.3,1238.7,24.97916667,15.29166667,54.03415783,557.227138,37.9,9.6,28.3,31.8,23.13333333,31.8,18.21666667,178,39,0,102.999288,114,3,114,31,36,19.65,1